code;name;dose
A01AA01;Natriumfluorid;1,1 mg O 0,5 mg Fluorid
A01AA03;Olaflur;1,1 mg O
A01AB02;Wasserstoffperoxid;60 mg O
A01AB03;Chlorhexidin;30 mg O
A01AB04;Amphotericin B;40 mg O
A01AB05;Polynoxylin;0,18 g O
A01AB06;Domiphen;3 mg O
A01AB07;Oxychinolin;80 mg O
A01AB09;Miconazol;0,2 g O
A01AB10;Natamycin;20 mg O
A01AB23;Minocyclin;1 mg O
A01AB33;Nystatin;500 TSD E O 
A02AA04;Magnesiumhydroxid;3 g O
A02AB02;Algeldrat;5 g O
A02AB04;Dihydroxyaluminiumnatriumcarbonat (Carbaldrat)**;4 g O
A02AC02;Calciumsilikat;6 g O
A02AD01;Einfache Salzkombinationen**;Standarddosis: 10 Tabletten oder 50 ml Mixtur
A02AD02;Magaldrat;3,2 g O 
A02AD04;Hydrotalcit;3,5 g O 
A02AD05;Almasilat;4 g O 
A02AD06;Simaldrat;5 g O 
A02BA01;Cimetidin;0,8 g O,P
A02BA02;Ranitidin;0,3 g O,P
A02BA03;Famotidin;40 mg O,P
A02BA04;Nizatidin;0,3 g O,P
A02BA06;Roxatidin;0,15 g O
A02BA07;Ranitidinbismutcitrat;0,8 g O
A02BA08;Lafutidin;20 mg O
A02BB01;Misoprostol;0,8 mg O
A02BB02;Enprostil;70 mcg O
A02BC01;Omeprazol;20 mg O,P
A02BC02;Pantoprazol;"40 mg O,P; 20 mg O,P "
A02BC03;Lansoprazol;"30 mg O; 15 mg O "
A02BC04;Rabeprazol;"20 mg O; 10 mg O,P "
A02BC05;Esomeprazol;"30 mg O,P; 20 mg O,P "
A02BC06;Dexlansoprazol;30 mg O
A02BD04;Pantoprazol, Amoxicillin und Clarithromycin;Kombinationspackung: 6 DE O 
A02BD05;Omeprazol, Amoxicillin und Clarithromycin;Kombinationspackung: 6 DE O 
A02BD08;Bismutsubcitrat, Tetracyclin und Metronidazol;Kombinationspackung: 12 DE O 
A02BX01;Carbenoxolon;0,15 g O
A02BX02;Sucralfat;4 g O
A02BX03;Pirenzepin;"0,1 g O; 20 mg P"
A02BX05;Bismutsubcitrat;0,48 g O
A02BX06;Proglumid;1,2 g O
A02BX14;Rebamipid;0,3 g O
A02BX63;Alginsäure, Kombinationen;Standarddosis: 10 Tabletten oder 50 ml Mixtur O 
A03AA01;Oxyphencyclimin;20 mg O
A03AA03;Camylofin;0,2 g O,R
